Designator,Mid X,Mid Y,Rotation,Layer
R33,-54.71351,6.37823,15.0,bottom
R34,-55.231148,4.44638,15.0,bottom
R35,-37.326844,1.719489,15.0,bottom
R36,-37.844483,-0.212363,15.0,bottom
R37,111.381764,47.961987,345.0,bottom
R38,111.899403,46.030136,345.0,bottom
R39,93.995099,43.303245,345.0,bottom
R4,-100.791257,43.053719,15.0,bottom
R40,94.512739,41.371393,345.0,bottom
R41,74.408473,46.854873,345.0,bottom
R42,74.926112,44.923018,345.0,bottom
R43,57.021808,42.196129,345.0,bottom
R44,57.539449,40.264278,345.0,bottom
R45,39.635145,37.537385,345.0,bottom
R46,40.152784,35.605535,345.0,bottom
R47,22.24848,32.878643,345.0,bottom
R48,22.766116,30.946791,345.0,bottom
R49,115.781689,31.541251,345.0,bottom
R5,-80.686991,48.537197,15.0,bottom
R50,116.299328,29.609397,345.0,bottom
R51,98.395023,26.882507,345.0,bottom
R52,98.912663,24.950654,345.0,bottom
R53,78.808399,30.434132,345.0,bottom
R54,79.326036,28.502281,345.0,bottom
R55,61.421733,25.775389,345.0,bottom
R56,61.939369,23.843539,345.0,bottom
R57,44.035069,21.116645,345.0,bottom
R58,44.552706,19.184795,345.0,bottom
R59,26.648403,16.457904,345.0,bottom
R6,-81.20463,46.605343,15.0,bottom
R60,27.166042,14.526052,345.0,bottom
R61,120.181617,15.12051,345.0,bottom
R62,120.699252,13.188658,345.0,bottom
R63,102.79495,10.461764,345.0,bottom
R64,103.312586,8.529915,345.0,bottom
R65,83.208323,14.013395,345.0,bottom
R66,83.72596,12.081541,345.0,bottom
R67,65.821657,9.35465,345.0,bottom
R68,66.339298,7.422799,345.0,bottom
R69,48.434992,4.695906,345.0,bottom
R7,-63.300325,43.878453,15.0,bottom
R70,48.95263,2.764056,345.0,bottom
R71,31.048327,0.037164,345.0,bottom
R72,31.565967,-1.894687,345.0,bottom
R73,-113.038706,35.982649,15.0,bottom
R74,-95.652041,31.323906,15.0,bottom
R75,-76.035495,34.867516,15.0,bottom
R76,-58.678745,30.216792,15.0,bottom
R77,-41.292084,25.558048,15.0,bottom
R78,-23.90542,20.899305,15.0,bottom
R79,-117.438629,19.56191,15.0,bottom
R8,-63.81796,41.946601,15.0,bottom
R80,-100.051968,14.903169,15.0,bottom
R81,-80.465339,18.454793,15.0,bottom
R82,-63.078673,13.796051,15.0,bottom
R83,-45.692008,9.137313,15.0,bottom
R84,-28.30534,4.478564,15.0,bottom
R85,-121.838553,3.14117,15.0,bottom
R86,-104.450717,-1.513203,15.0,bottom
R87,-84.865262,2.034055,15.0,bottom
R88,-67.478597,-2.624688,15.0,bottom
R89,-50.091932,-7.283431,15.0,bottom
R9,-45.913662,39.21971,15.0,bottom
R90,-32.705263,-11.942175,15.0,bottom
R91,122.215003,38.441429,345.0,bottom
R92,104.828336,33.782687,345.0,bottom
R93,85.241709,37.334311,345.0,bottom
R94,67.855045,32.675571,345.0,bottom
R95,50.46838,28.016828,345.0,bottom
R96,33.081716,23.358084,345.0,bottom
R97,126.614925,22.020691,345.0,bottom
R98,109.228262,17.361947,345.0,bottom
R99,89.641636,20.913576,345.0,bottom
S1,-116.333498,41.9248,345.0,top
S10,-66.373397,19.738201,345.0,top
S11,-48.98675,15.0795,345.0,top
S12,-31.600099,10.420726,345.0,top
S13,-125.1335,9.08333,345.0,top
S14,-107.7465,4.424608,345.0,top
S15,-88.16,7.976219,345.0,top
S16,-70.7733,3.317499,345.0,top
S17,-53.3867,-1.341271,345.0,top
S18,-36.000001,-6.000003,345.0,top
S19,-71.2666,-15.910015,345.0,top
S2,-98.9466,37.2661,345.0,top
S20,-54.77055,-27.37,330.0,top
S21,-37.3839,-32.0287,330.0,top
S22,116.3335,41.9248,15.0,top
S23,98.946748,37.266101,15.0,top
S24,79.360108,40.8177,15.0,top
S25,61.973499,36.158999,15.0,top
S26,44.586799,31.500199,15.0,top
S27,27.200194,26.841498,15.0,top
S28,120.733496,25.504098,15.0,top
S29,103.346684,20.845341,15.0,top
S3,-79.36015,40.8177,345.0,top
S30,83.7601,24.396999,15.0,top
S31,66.373397,19.738201,15.0,top
S32,48.986703,15.079498,15.0,top
S33,31.600099,10.420707,15.0,top
S34,125.133502,9.08332,15.0,top
S35,107.746502,4.424601,15.0,top
S36,88.16,7.976222,15.0,top
S37,70.773298,3.317496,15.0,top
S38,53.386699,-1.341259,15.0,top
S39,35.999999,-6.0,15.0,top
S4,-61.973499,36.159001,345.0,top
S40,71.2666,-15.910009,15.0,top
S41,54.770549,-27.37,30.0,top
S42,37.383899,-32.028701,30.0,top
S5,-44.586799,31.500199,345.0,top
S6,-27.200175,26.841499,345.0,top
S7,-120.733503,25.504102,345.0,top
S8,-103.346552,20.845351,345.0,top
S9,-83.760099,24.396999,345.0,top
U1,-13.000003,23.500001,180.0,top
U10,13.000002,23.500001,180.0,bottom
U11,18.5,1.0,180.0,bottom
U12,18.5,-20.0,180.0,bottom
U13,-17.0,10.499997,180.0,top
U14,-18.5,-8.0,180.0,top
U15,-18.500002,-28.999999,180.0,top
U16,17.000001,10.500001,0.0,top
U17,18.5,-8.0,0.0,top
U18,18.499997,-29.0,0.0,top
U19,-17.0,10.499997,180.0,bottom
U2,-18.5,1.0,180.0,top
U20,-18.5,-8.0,180.0,bottom
U21,-18.500001,-29.000002,180.0,bottom
U22,17.000001,10.500001,0.0,bottom
U23,18.5,-8.0,0.0,bottom
U24,18.499997,-29.0,0.0,bottom
U25,-18.500002,-38.499999,0.0,bottom
U26,18.500001,-38.5,180.0,top
U27,18.500001,-38.5,180.0,bottom
U3,-18.5,-20.0,180.0,top
U4,13.000002,23.500001,0.0,top
U5,18.5,1.0,0.0,top
U6,18.5,-20.0,0.0,top
U66,-18.500002,-38.499999,180.0,top
U7,-13.000003,23.500001,0.0,bottom
U8,-18.5,1.0,0.0,bottom
U9,-18.5,-20.0,0.0,bottom
U99,0.0,-6.5,0.0,top
