C22:1
C23:1
C72:1
C73:1
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
J1:1
J51:1
L1:1
L2:1
L3:1
L4:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S16:1
S17:1
S18:1
S19:1
S2:1
S20:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
U1:1
U10:1
U11:1
U12:1
U13:1
U14:1
U15:1
U16:1
U17:1
U18:1
U19:1
U2:1
U20:1
U22:1
U23:1
U3:1
U4:1
U5:1
U51:1
U52:1
U53:1
U54:1
U55:1
U56:1
U57:1
U58:1
U59:1
U6:1
U60:1
U61:1
U62:1
U63:1
U64:1
U65:1
U66:1
U67:1
U68:1
U69:1
U7:1
U70:1
U72:1
U73:1
U77:1
U8:1
U9:1
